dept_name,emp_no,last_name,first_name
Development,10001,Facello,Georgi
Development,10018,Peha,Kazuhide
Sales,10053,Zschoche,Sanjiv
Development,10066,Schusler,Kwee
Development,10070,Garigliano,Reuven
Development,10072,Sidou,Hironoby
Development,10076,Ritzmann,Erez
Sales,10088,Syrzycki,Jungsoon
Development,10103,Birch,Akemi
Development,10129,Peir,Armond
Development,10134,Siprelle,Diederik
Development,10150,Perng,Zhenbing
Development,10153,Majewski,Heekeun
Development,10157,Aloisi,Nigel
Development,10198,Furedi,Pranav
Sales,10215,Duclos,Xiaobin
Development,10258,Ishibashi,Basil
Development,10283,Birjandi,Kauko
Sales,10355,Cochrane,Satyanarayana
Development,10396,Rahier,Sibyl
Development,10404,Rosti,Prodip
Development,10426,Luce,Arunas
Development,10429,Improta,Martien
Sales,10463,Zaiane,Ung
Sales,10504,Varker,Xiong
Sales,10548,Gunderson,Ramalingam
Development,10623,Danlos,Aleksander
Development,10628,Krogh,Krisda
Development,10631,Chaudhuri,Inderjeet
Development,10642,Narlikar,Hirochika
Development,10653,Feinberg,Otmar
Development,10676,Danley,Valeri
Development,10702,Szemeredi,Bader
Development,10718,Rullman,Adib
Development,10726,Minakawa,Zita
Sales,10767,Doering,Monique
Development,10791,Sgarro,Tadahiko
Sales,10795,Naudin,Supot
Development,10808,Leijenhorst,Chenxi
Sales,10836,Leivant,Jianhua
Development,10844,Koprowski,Dipayan
Sales,10878,Deville,Lakshmi
Development,10879,Chleq,Muzhong
Development,10909,Atchley,Georgi
Sales,10924,Atchley,Hironoby
Development,10943,Skafidas,Berna
Sales,10965,Braunschweig,Eckart
Development,10969,Noriega,Premal
Development,10974,Papsdorf,Muneo
Development,10986,Schiper,Masako
Development,10988,Deyuan,Chinya
Development,10990,Foote,Shin
Sales,11009,Axelband,Alper
Development,11019,Huttel,Leon
Development,11042,Breugel,Gou
Sales,11048,Demke,Jaques
Development,11106,Iwayama,Aris
Development,11121,Kakkad,Vugranam
Development,11137,Luca,Hugh
Sales,11146,Masand,Ishfaq
Development,11162,Narlikar,Kauko
Development,11180,Bojadziev,Mitsuyuki
Sales,11197,Fordan,Tadahiro
Development,11207,Gips,Saeed
Development,11240,Condotta,Kiam
Development,11249,Cyre,Randi
Development,11275,Eppinger,Hitomi
Development,11290,Dredge,Visit
Development,11319,Marrakchi,Pranas
Sales,11338,Hanratty,Kwangsub
Development,11347,Jonsson,Anneli
Development,11380,Pelc,Kenroku
Development,11404,Borovoy,Bedrich
Sales,11441,Aingworth,Marlo
Sales,11506,Picel,Rance
Development,11509,Feldhoffer,Aleksander
Sales,11515,Basawa,Ulf
Development,11524,Standera,Xiadong
Sales,11537,Pehl,DAIDA
Sales,11567,Mitzlaff,Teiji
Development,11568,Fujisaki,Martins
Sales,11615,Isaak,Shem
Development,11628,Malinowski,Fan
Development,11640,Coorg,Valeri
Development,11647,Nitsche,Magy
Sales,11660,Stenning,Gill
Sales,11696,Rothe,Dante
Sales,11746,Marrakchi,Koichi
Development,11769,Lampe,Chandrasekaran
Development,11772,Penz,Gaurav
Sales,11797,Thambidurai,Chenxi
Development,11810,Bhattacharjee,Amabile
Sales,11817,Markovitch,Niranjan
